domain,Mi,apache,bsd,gpl,mit,prop,genfoss,missing,FOSS
results/federation.edu.au,212,0.202830188679245,0.0754716981132075,0,0,0.089622641509434,0,0.632075471698113,0.278301886792453
results/feituverava.com.br,23,0.869565217391304,0,0,0,0.0869565217391304,0,0.0434782608695652,0.869565217391304
results/ferpi.dem.ru,3,1,0,0,0,0,0,0,1
results/fgcu.edu,156,0.0576923076923077,0.0192307692307692,0,0,0.673076923076923,0,0.25,0.0769230769230769
results/fh-biberach.de,16,0.5,0.125,0,0,0.375,0,0,0.625
results/fh-dortmund.de,193,0.647668393782383,0.233160621761658,0,0,0.0466321243523316,0,0.072538860103627,0.880829015544041
results/fh-hamburg.de,13,0.692307692307692,0.307692307692308,0,0,0,0,0,1
results/fh-konstanz.de,70,1,0,0,0,0,0,0,1
results/fh-ludwigshafen.de,6,0.666666666666667,0,0,0,0,0,0.333333333333333,0.666666666666667
results/fh-mannheim.de,23,0.826086956521739,0,0,0,0.173913043478261,0,0,0.826086956521739
results/fh-muenchen.de,109,0.605504587155963,0.311926605504587,0,0,0.0458715596330275,0,0.036697247706422,0.917431192660551
results/fh-niederrhein.de,13,0.692307692307692,0.307692307692308,0,0,0,0,0,1
results/fhoebb.de,7,0.714285714285714,0.142857142857143,0,0,0,0,0.142857142857143,0.857142857142857
results/fh-offenburg.de,60,0.9,0.0833333333333333,0,0,0,0,0.0166666666666666,0.983333333333333
results/fh-schwaebischhall.de,11,0,0,0,0,0,0,1,0
results/fhsg.ch,54,0.203703703703704,0.722222222222222,0,0,0.0185185185185185,0,0.0555555555555556,0.925925925925926
results/fh-stpoelten.ac.at,1,1,0,0,0,0,0,0,1
results/fh-weihenstephan.de,1,1,0,0,0,0,0,0,1
results/fh-wiesbaden.de,34,0.529411764705882,0.0882352941176471,0,0,0.323529411764706,0,0.0588235294117647,0.617647058823529
results/flcc.edu,6827,0.665446023143401,0.000146477222791856,0,0,0.00146477222791856,0,0.332942727405888,0.665592500366193
results/fontbonne.edu,25,0,0.4,0,0,0.28,0,0.32,0.4
results/fosu.edu.cn,12,0.25,0.333333333333333,0,0,0.0833333333333333,0,0.333333333333333,0.583333333333333
results/frederick.edu,61,0.0163934426229508,0.0327868852459016,0,0,0.836065573770492,0,0.114754098360656,0.0491803278688525
results/frostburg.edu,7,0,0.857142857142857,0,0,0,0,0.142857142857143,0.857142857142857
results/fukuoka-edu.ac.jp,42,0.952380952380952,0,0,0,0,0,0.0476190476190477,0.952380952380952
results/fukuoka-u.ac.jp,138,0.782608695652174,0.0869565217391304,0,0,0.072463768115942,0,0.0579710144927535,0.869565217391304
results/gasu.ru,53,0.452830188679245,0.471698113207547,0,0,0.0566037735849057,0,0.0188679245283019,0.924528301886792
results/gazi.edu.tr,500,0.188,0.046,0,0,0.038,0,0.728,0.234
results/gcccks.edu,12,0,0,0,0,0.833333333333333,0,0.166666666666667,0
results/gcu.edu.pk,37,0.810810810810811,0.027027027027027,0,0,0,0,0.162162162162162,0.837837837837838
results/ggu.edu,153,0.0522875816993464,0.0457516339869281,0,0,0.0326797385620915,0,0.869281045751634,0.0980392156862745
results/gitam.edu,98,0.0612244897959184,0.0204081632653061,0,0,0.418367346938776,0,0.5,0.0816326530612245
results/gjue.ac.kr,6,0.5,0,0,0,0.166666666666667,0,0.333333333333333,0.5
results/gkvharidwar.org,1,0,0,0,0,0,0,1,0
results/global.edu.pk,9,0.555555555555556,0,0,0,0.111111111111111,0,0.333333333333333,0.555555555555556
results/gluk.ac.ke,31,0.67741935483871,0.161290322580645,0,0,0,0,0.161290322580645,0.838709677419355
results/gorny-ins.ru,0,NA,NA,NA,NA,NA,NA,NA,NA
results/goums.ac.ir,261,0.923371647509579,0.00383141762452107,0,0,0.0421455938697318,0,0.0306513409961685,0.9272030651341
results/greenheartmed.org,0,NA,NA,NA,NA,NA,NA,NA,NA
results/greenriver.edu,50,0,0.14,0,0,0.5,0,0.36,0.14
results/gretsauniversity.ac.ke,5,1,0,0,0,0,0,0,1
results/gsu.edu.ng,5,1,0,0,0,0,0,0,1
results/gsut.edu.cn,1,0,0,0,0,0,0,1,0
results/gtuc.edu.gh,16,0.6875,0,0,0,0.0625,0,0.25,0.6875
results/gtu.edu.ge,5,1,0,0,0,0,0,0,1
results/gujaratuniversity.org.in,2,0,0,0,0,1,0,0,0
results/gxu.edu.cn,151,0.0397350993377483,0.0993377483443709,0,0,0.0860927152317881,0,0.774834437086093,0.139072847682119
results/gzu.edu.cn,17,0.352941176470588,0.588235294117647,0,0,0.0588235294117647,0,0,0.941176470588235
results/hacc.edu,164,0.0487804878048781,0.0426829268292683,0,0,0.0426829268292683,0,0.865853658536585,0.0914634146341463
results/hagerstowncc.edu,30,0.366666666666667,0.133333333333333,0,0,0.4,0,0.1,0.5
results/hakkari.edu.tr,9,0.222222222222222,0.111111111111111,0,0,0.555555555555556,0,0.111111111111111,0.333333333333333
results/hakuoh.ac.jp,10,0.8,0.1,0,0,0.1,0,0,0.9
results/halic.edu.tr,62,0.112903225806452,0,0,0,0.838709677419355,0,0.0483870967741935,0.112903225806452
results/handong.edu,45,0.466666666666667,0.155555555555556,0,0,0.2,0,0.177777777777778,0.622222222222222
results/hangkong.ac.kr,6,0.333333333333333,0,0,0,0.666666666666667,0,0,0.333333333333333
results/hanseuni.de,2,0,0,0,0,0,0,1,0
results/hanshin.ac.kr,40,0.55,0.05,0,0,0.2,0,0.2,0.6
results/hanyang.ac.kr,731,0.403556771545828,0.351573187414501,0,0,0.0560875512995896,0,0.188782489740082,0.755129958960328
results/hartnell.edu,27,0.222222222222222,0,0,0,0.37037037037037,0,0.407407407407407,0.222222222222222
results/hartwick.edu,28,0.214285714285714,0.25,0,0,0.357142857142857,0,0.178571428571429,0.464285714285714
results/haskell.edu,26,0.307692307692308,0,0,0,0.384615384615385,0,0.307692307692308,0.307692307692308
results/haywood.edu,40,0.125,0.05,0,0,0.8,0,0.0249999999999999,0.175
results/hccfl.edu,9,0,0.111111111111111,0,0,0.555555555555556,0,0.333333333333333,0.111111111111111
results/hcu.edu.tw,77,0.103896103896104,0,0,0,0.883116883116883,0,0.012987012987013,0.103896103896104
results/hcuge.ch,23,0.0869565217391304,0,0,0,0,0,0.91304347826087,0.0869565217391304
results/hebmu.edu.cn,56,0.0535714285714286,0.821428571428571,0,0,0.0892857142857143,0,0.0357142857142857,0.875
results/hebut.edu.cn,76,0,0.0394736842105263,0,0,0,0,0.960526315789474,0.0394736842105263
results/hec.fr,151,0.0794701986754967,0.0463576158940397,0,0,0.0728476821192053,0,0.801324503311258,0.125827814569536
results/henannu.edu.cn,2,0,1,0,0,0,0,0,1
results/henau.edu.cn,39,0,0.0256410256410256,0,0,0,0,0.974358974358974,0.0256410256410256
results/hennepintech.edu,13,0.0769230769230769,0,0,0,0.538461538461538,0,0.384615384615385,0.0769230769230769
results/hgo.se,45,0.0666666666666667,0.422222222222222,0,0,0.311111111111111,0,0.2,0.488888888888889
results/hi.is,1293,0.445475638051044,0.135344160866203,0,0,0.321732405259087,0,0.0974477958236659,0.580819798917247
results/his.se,57,0.280701754385965,0.0526315789473684,0,0,0.385964912280702,0,0.280701754385965,0.333333333333333
results/hitit.edu.tr,334,0.029940119760479,0.110778443113772,0,0,0.850299401197605,0,0.00898203592814362,0.140718562874251
results/hokusei.ac.jp,21,0.333333333333333,0.571428571428571,0,0,0.0476190476190476,0,0.0476190476190477,0.904761904761905
results/holar.is,7,0.285714285714286,0.571428571428571,0,0,0,0,0.142857142857143,0.857142857142857
results/honolulu.hawaii.edu,13,0.538461538461538,0.0769230769230769,0,0,0,0,0.384615384615385,0.615384615384615
results/hoseo.ac.kr,5,0.6,0,0,0,0,0,0.4,0.6
results/hostos.cuny.edu,43,0.0697674418604651,0.0232558139534884,0,0,0.790697674418605,0,0.116279069767442,0.0930232558139535
results/hotelschool.com.au,5,0,1,0,0,0,0,0,1
results/hrbmu.edu.cn,5,0.4,0.4,0,0,0.2,0,0,0.8
results/hrbust.edu.cn,75,0.506666666666667,0.04,0,0,0.253333333333333,0,0.2,0.546666666666667
results/hs-bremerhaven.de,109,0.770642201834862,0.165137614678899,0,0,0,0,0.0642201834862385,0.935779816513762
results/hs-harz.de,121,0.826446280991736,0.0743801652892562,0,0,0.0743801652892562,0,0.024793388429752,0.900826446280992
results/hs-magdeburg.de,63,0.841269841269841,0.0634920634920635,0,0,0.0793650793650794,0,0.0158730158730158,0.904761904761905
results/htwm.de,8,0.875,0,0,0,0.125,0,0,0.875
results/huflit.vnn.vn,0,NA,NA,NA,NA,NA,NA,NA,NA
results/humanities.mn,12,0.166666666666667,0.0833333333333333,0,0,0.75,0,0,0.25
results/humg.edu.vn,75,0.506666666666667,0.04,0,0,0.373333333333333,0,0.08,0.546666666666667
results/hums.ac.ir,205,0.0878048780487805,0.0048780487804878,0,0,0.897560975609756,0,0.00975609756097562,0.0926829268292683
results/hva.nl,158,0.443037974683544,0.069620253164557,0,0,0.246835443037975,0,0.240506329113924,0.512658227848101
results/hwru.edu.vn,2,0,0,0,0,1,0,0,0
results/hzau.edu.cn,159,0.0754716981132075,0.0314465408805031,0,0,0.0188679245283019,0,0.874213836477987,0.106918238993711
results/iauh.ac.ir,11,0.454545454545455,0.363636363636364,0,0,0.181818181818182,0,0,0.818181818181818
results/iaumehriz.com,4,0.75,0.25,0,0,0,0,0,1
results/iau-shahrood.ac.ir,50,0.08,0,0,0,0.66,0,0.26,0.08
results/ifslearning.ac.uk,19,0,0.0526315789473684,0,0,0.947368421052632,0,0,0.0526315789473684
results/igdir.edu.tr,103,0.0388349514563107,0.00970873786407767,0,0,0.893203883495146,0,0.058252427184466,0.0485436893203883
results/iiee.edu.pk,1,0,1,0,0,0,0,0,1
results/iiitg.ac.in,2,1,0,0,0,0,0,0,1
results/ikc.edu.tr,185,0,0.908108108108108,0,0,0.0594594594594595,0,0.0324324324324323,0.908108108108108
results/iliauni.edu.ge,147,0.0612244897959184,0.91156462585034,0,0,0.00680272108843537,0,0.0204081632653061,0.972789115646258
results/imd.edu.gr,2,0,1,0,0,0,0,0,1
results/insa-rennes.fr,174,0.67816091954023,0.126436781609195,0,0,0,0,0.195402298850575,0.804597701149425
results/integraluniversity.ac.in,0,NA,NA,NA,NA,NA,NA,NA,NA
results/intstudy.mai.ru,2,0,1,0,0,0,0,0,1
results/ioe.ac.uk,37,0.459459459459459,0.378378378378378,0,0,0.027027027027027,0,0.135135135135135,0.837837837837838
results/ip.kyusan-u.ac.jp,18,0.888888888888889,0,0,0,0.0555555555555556,0,0.0555555555555556,0.888888888888889
results/ipsantarem.pt,102,0.833333333333333,0,0,0,0.147058823529412,0,0.0196078431372548,0.833333333333333
results/ipvc.pt,182,0.631868131868132,0.0549450549450549,0,0,0.0549450549450549,0,0.258241758241758,0.686813186813187
results/isbm-school.com,12,0.583333333333333,0,0,0,0,0,0.416666666666667,0.583333333333333
results/iscet.pt,15,0.0666666666666667,0.0666666666666667,0,0,0,0,0.866666666666667,0.133333333333333
results/isep.fr,41,0.926829268292683,0.0731707317073171,0,0,0,0,0,1
results/isikun.edu.tr,153,0.150326797385621,0.0522875816993464,0,0,0.718954248366013,0,0.0784313725490197,0.202614379084967
results/islamicuniversity.nl,5,0,1,0,0,0,0,0,1
results/ismra.fr,6,0,1,0,0,0,0,0,1
results/istanbul.edu.tr,400,0.1825,0.03,0,0,0.785,0,0.00249999999999995,0.2125
results/ita.br,110,0.981818181818182,0,0,0,0.0181818181818182,0,0,0.981818181818182
results/itba.edu.ar,50,0.6,0.06,0,0,0.04,0,0.3,0.66
